id;template_id;template_code;subject;body
1;43612;context-sensitive Metrics transmit;Fresh;Cambridgeshire Central
2;79985;supply-chains;Bedfordshire;Peru withdrawal Down-sized
3;13935;navigating Liaison;Corporate Lari;Sports Global Soft
4;57651;actuating India;Buckinghamshire microchip;Games
5;13688;Future;pixel Phased payment;Towels Internal
6;41877;drive Ireland;strategic;microchip Ergonomic Auto Loan Account
7;24534;generate;action-items;monitor methodology West Virginia
8;47605;invoice Research;Bedfordshire 4th generation Equatorial Guinea;Auto Loan Account
9;5142;Cambridgeshire Savings Account extensible;Course robust bricks-and-clicks;Buckinghamshire Nepalese Rupee
10;43482;Centralized bypassing;Clothing Engineer Toys;granular
