id;request_status_id;decision_by_name;decision_by_mudid;decision_by_email;decision_date;decision_comments;rejection_reason;active_flag;created_by;created_date;modified_by;modified_date;ingestion_request_id_id;status_id_id
1;98666;Steel Berkshire;magenta efficient;Automotive approach Borders;2024-05-20T07:15:26;revolutionary Sports Fantastic;benchmark Planner;false;Turkish Lira overriding Rustic Metal Computer;2024-05-19T10:31:44;Metal Lead;2024-05-19T19:05:29;1;1
2;93621;Generic Granite Gloves capacitor;Assurance Auto Loan Account cross-platform;indexing Handcrafted;2024-05-19T11:53:26;Montserrat synthesizing;Port Sleek Wooden Fish;false;protocol;2024-05-19T19:07:39;deposit;2024-05-19T21:51:48;2;2
3;87178;pink Architect;override PNG;deposit Avon;2024-05-19T20:02:15;alarm;workforce;true;Borders Intelligent whiteboard;2024-05-20T04:04:21;web-readiness;2024-05-20T04:28:48;3;3
4;25768;Drives XSS interface;navigating Money Market Account array;Analyst Awesome Fresh Hat New Jersey;2024-05-19T22:50:22;interface;Auto Loan Account Personal Loan Account;true;withdrawal Planner;2024-05-20T02:33:13;sticky benchmark Point;2024-05-19T13:18:08;4;4
5;73311;Soft;iterate Savings Account deposit;Analyst Shirt;2024-05-19T12:51:39;Berkshire;Refined;false;Home Loan Account Louisiana;2024-05-19T17:27:48;Rustic withdrawal;2024-05-20T01:52:28;5;5
6;96941;Synchronised deposit;Rhode Island;Cotton Manager;2024-05-19T22:28:30;Team-oriented;initiatives;false;Hill Uganda Shilling;2024-05-20T05:52:04;Forge New Mexico;2024-05-19T10:36:01;6;6
7;70677;Pants;integrate;array payment;2024-05-19T21:58:30;calculating online Utah;Hawaii Botswana Computers;true;Granite;2024-05-20T03:49:08;Small Metal Computer Multi-channelled Sausages;2024-05-20T07:14:26;7;7
8;31615;Borders;Congolese Franc;Architect Developer;2024-05-20T09:14:51;Paradigm;Facilitator Minnesota;false;Lebanon open-source;2024-05-19T20:35:32;Steel;2024-05-20T06:10:51;8;8
9;30792;capacitor;feed;Officer;2024-05-20T07:06:45;Swiss Franc communities XSS;Quality-focused;true;Representative whiteboard Health;2024-05-20T03:30:23;transmitting COM;2024-05-19T14:55:18;9;9
10;3038;Data;Dynamic Savings Account Branding;whiteboard payment Incredible;2024-05-19T17:34:40;Orchestrator;utilisation;true;Facilitator transmit;2024-05-20T07:11:40;optimal Refined;2024-05-19T17:45:14;10;10
