id;usage_user_restriction_id;restriction_ref;restriction_type_ref;reason_for_other;created_by;created_date;modified_by;modified_date;dataset_id_id
1;72003;payment;Nevada port Money Market Account;Chips National Idaho;vortals value-added;2024-05-19T18:36:26;Customer;2024-05-20T06:01:38;1
2;50588;Money Market Account;bus;Security Virginia;solid state Clothing deposit;2024-05-19T14:51:22;maximize Practical Steel Fish;2024-05-20T06:51:50;2
3;93436;Chief Coves Concrete;Pizza yellow programming;FTP;Persistent Investment Account;2024-05-20T00:15:46;navigate;2024-05-20T04:25:55;3
4;80285;Kids leading-edge synergize;JSON National;interactive capacitor;Idaho Grocery;2024-05-19T11:27:37;Devolved;2024-05-19T19:30:10;4
5;49836;web-readiness;frame multi-byte modular;Electronics;Bedfordshire Strategist;2024-05-19T22:21:01;Massachusetts;2024-05-19T12:42:40;5
6;8534;Officer Bedfordshire;application scale;indigo National;Expressway;2024-05-19T18:22:00;grow;2024-05-19T13:17:19;6
7;56484;Gorgeous Soft Fish Mountain;Japan Knoll;Rhode Island Computer;user-centric;2024-05-20T07:33:14;navigate didactic Dynamic;2024-05-19T20:43:41;7
8;40873;Industrial Pizza bus;web-readiness Cyprus;Distributed;Avon Checking Account impactful;2024-05-19T19:41:58;THX;2024-05-19T20:00:17;8
9;23818;Licensed Visionary pixel;neural Markets Branding;maroon;superstructure;2024-05-20T07:16:47;deposit;2024-05-19T15:42:16;9
10;20788;Music Salad North Carolina;circuit Forward;frictionless solution-oriented;distributed Computers;2024-05-19T13:25:50;best-of-breed generate;2024-05-20T00:39:35;10
