id;status_id;status_code;status_name
1;40414;system engine Kuwaiti Dinar solid state;SAS help-desk SAS
2;37567;intranet;Garden migration
3;36646;mesh Iceland Krona;Jordan Savings Account
4;54568;eyeballs Movies;Savings Account Pakistan Rupee
5;61949;Mill deliver XSS;indexing Lead
6;81376;Fantastic Shirt;Illinois Kyrgyz Republic
7;60790;generate 1080p;capacitor Andorra overriding
8;43086;Dynamic;Principal
9;24348;Markets Intelligent Frozen Shoes;yellow Shoes
10;61735;Fiji;system engine haptic Moldova
