id;dataset_id;dataset_name;dataset_origin_source;current_data_location_ref;meteor_space_domino_usage_flag;ihd_flag;dataset_required_for_ref;estimated_data_volume_ref;analysis_init_dt;analysis_end_dt;dta_contract_complete_flag;dta_expected_completion_date;dataset_type_ref;information_classification_type_ref;pii_type_ref;retention_rules;retention_rules_contract_date;contract_partner;created_by;created_date;modified_by;modified_date;ingestion_request_id_id
1;69093;synthesize Creative;Forint;Concrete Global SMS;false;false;Bacon Designer;Equatorial Guinea Vision-oriented;2024-05-20;2024-05-19;true;2024-05-19;THX pink even-keeled;bus Internal AI;THX bypassing Marketing;Dynamic Home Loan Account Tools;2024-05-20;invoice Home Gloves;Buckinghamshire Ports;2024-05-19T09:29:57;Fish;2024-05-20T08:55:55;1
2;23724;circuit navigate;program alarm;Nevada;false;true;withdrawal Ergonomic;Strategist target;2024-05-19;2024-05-19;true;2024-05-19;dot-com payment Libyan Dinar;white sensor local;calculate;Chips;2024-05-19;Response Human;back up Factors;2024-05-20T01:25:40;Venezuela Wisconsin;2024-05-19T09:50:17;2
3;85300;disintermediate;fuchsia eco-centric;Pants Maryland;true;true;Intranet Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;2024-05-19;2024-05-20;true;2024-05-19;Metal array France;redundant;Synergistic Personal Loan Account Sleek;Borders;2024-05-19;deposit;extend Unbranded Fresh Pants Tools;2024-05-19T19:28:24;interfaces;2024-05-19T17:14:15;3
4;3594;Dale;Specialist generating;Computers Small Fresh Gloves back-end;false;false;synthesizing composite;Investment Account Refined Intelligent Granite Shirt;2024-05-19;2024-05-19;true;2024-05-20;Frozen Analyst card;redundant;content;Gorgeous Electronics Brand;2024-05-19;Saudi Riyal paradigms;Corporate;2024-05-19T22:44:58;Optimized;2024-05-20T07:06:46;4
5;71459;invoice;invoice;alarm Jamaica;true;true;Gorgeous Rubber Pants Cheese;Garden;2024-05-20;2024-05-20;false;2024-05-20;solution;Colombian Peso Unidad de Valor Real Bridge Handmade;online e-business;systems integrate;2024-05-19;invoice Gorgeous Cotton Chair Personal Loan Account;Cambridgeshire Norfolk Island;2024-05-19T16:57:03;Checking Account;2024-05-19T10:42:46;5
6;64241;Outdoors New York Data;Jamaican Dollar North Carolina;Station;true;true;Investment Account parsing invoice;black;2024-05-20;2024-05-20;false;2024-05-20;Ergonomic Rubber Chicken;Handcrafted Plastic Shirt quantifying;wireless;hybrid;2024-05-20;Rupiah Personal Loan Account HTTP;schemas Specialist China;2024-05-19T23:12:09;South Dakota Wyoming interface;2024-05-20T06:18:05;6
7;37201;quantify;JSON Texas;bandwidth;true;true;Configurable iterate Liechtenstein;navigating encoding;2024-05-19;2024-05-20;false;2024-05-20;Interactions;Fantastic time-frame Quality;Borders Borders Practical;methodical;2024-05-20;Danish Krone parse;neural Wooden Optimization;2024-05-19T09:59:03;Designer;2024-05-20T08:01:30;7
8;44153;EXE cross-media Frozen;Syrian Pound;Auto Loan Account Refined Practical;true;false;revolutionize;panel Sleek Intelligent;2024-05-19;2024-05-19;false;2024-05-19;SAS User-centric;Planner navigate repurpose;Buckinghamshire;Oklahoma communities;2024-05-19;Cotton;Advanced grow;2024-05-19T19:39:02;hack;2024-05-19T14:57:12;8
9;11752;payment synthesize Idaho;seize Glen Refined;Mandatory Assistant;false;true;Arizona success Sleek Frozen Chips;Gorgeous Rubber Chicken Associate Central African Republic;2024-05-19;2024-05-20;true;2024-05-20;Orchestrator Naira;Legacy Unbranded Plastic Chips;Unbranded Cotton Table Generic B2B;olive;2024-05-19;one-to-one Indiana;holistic;2024-05-20T03:07:38;Ridges Beauty dynamic;2024-05-19T23:29:49;9
10;81379;Pound Sterling Keyboard;Licensed Usability models;Personal Loan Account markets;true;true;Aruba Chair portals;online Strategist Shirt;2024-05-19;2024-05-19;false;2024-05-19;transmitting Tennessee Practical Steel Shirt;24/7;Refined;haptic Producer Agent;2024-05-19;input Accounts;enhance Multi-channelled purple;2024-05-20T03:19:53;mission-critical white SMTP;2024-05-19T15:11:53;10
